batter,sum,count,strike_rate
234,330,150,220.00000000000003
235,70,62,112.90322580645163
236,29,27,107.40740740740742
237,10,13,76.92307692307693
238,40,38,105.26315789473684
239,975,712,136.93820224719101
240,17,27,62.96296296296296
241,199,132,150.75757575757575
242,3583,2519,142.23898372369987
243,604,466,129.6137339055794
244,197,170,115.88235294117648
245,106,110,96.36363636363636
246,92,93,98.9247311827957
247,10,15,66.66666666666666
248,3,4,75.0
249,327,309,105.8252427184466
250,2427,2291,105.93627237014405
251,68,80,85.0
252,614,460,133.47826086956522
253,18,17,105.88235294117648
254,0,1,0.0
255,15,13,115.38461538461537
256,1589,1132,140.37102473498234
257,26,25,104.0
258,730,501,145.70858283433134
259,259,217,119.35483870967742
260,6,9,66.66666666666666
261,2029,1680,120.77380952380952
262,527,406,129.80295566502463
263,8,6,133.33333333333331
264,19,29,65.51724137931035
265,417,314,132.80254777070064
266,78,80,97.5
267,8,11,72.72727272727273
268,36,30,120.0
269,218,239,91.21338912133892
270,247,159,155.34591194968556
271,9,13,69.23076923076923
272,206,207,99.51690821256038
273,12,9,133.33333333333331
274,0,4,0.0
275,65,55,118.18181818181819
276,1,2,50.0
277,3437,2447,140.45770331017573
278,10,9,111.11111111111111
279,51,53,96.22641509433963
280,24,21,114.28571428571428
281,1687,1424,118.4691011235955
282,4843,3687,131.35340385136968
283,1647,1287,127.97202797202797
284,13,8,162.5
285,1,7,14.285714285714285
286,116,70,165.71428571428572
287,1496,1192,125.503355704698
288,22,34,64.70588235294117
289,4689,3578,131.05086640581328
290,0,2,0.0
291,1208,1012,119.36758893280633
292,18,26,69.23076923076923
293,5,3,166.66666666666669
294,2,4,50.0
295,1001,758,132.05804749340368
296,379,276,137.31884057971016
297,0,3,0.0
298,199,168,118.45238095238095
299,16,25,64.0
300,2132,1734,122.95271049596307
301,351,306,114.70588235294117
302,36,39,92.3076923076923
303,128,78,164.1025641025641
304,3,5,60.0
305,12,17,70.58823529411765
306,13,16,81.25
307,183,224,81.69642857142857
308,3,7,42.857142857142854
309,0,2,0.0
310,36,50,72.0
311,34,37,91.8918918918919
312,9,3,300.0
313,81,71,114.08450704225352
314,302,251,120.3187250996016
315,1,2,50.0
316,1,3,33.33333333333333
317,68,48,141.66666666666669
318,106,63,168.25396825396825
319,1079,878,122.89293849658314
320,40,27,148.14814814814815
321,405,358,113.12849162011173
322,1017,847,120.07083825265643
323,939,609,154.1871921182266
324,305,301,101.32890365448506
325,4,4,100.0
326,35,50,70.0
327,66,71,92.95774647887323
328,259,258,100.3875968992248
329,113,109,103.6697247706422
330,73,78,93.58974358974359
331,514,486,105.76131687242798
332,48,44,109.09090909090908
333,126,93,135.48387096774192
334,20,30,66.66666666666666
335,11,19,57.89473684210527
336,9,24,37.5
337,55,70,78.57142857142857
338,553,413,133.89830508474577
339,7,7,100.0
340,2619,2208,118.61413043478262
341,1083,863,125.49246813441484
342,1,2,50.0
343,2669,2081,128.25564632388276
344,24,22,109.09090909090908
345,105,109,96.3302752293578
346,12,10,120.0
347,1000,801,124.84394506866417
348,125,134,93.28358208955224
349,237,213,111.26760563380283
350,26,26,100.0
351,14,13,107.6923076923077
352,1977,1648,119.96359223300972
353,177,124,142.74193548387098
354,58,49,118.36734693877551
355,167,168,99.40476190476191
356,98,96,102.08333333333333
357,271,197,137.56345177664974
358,278,198,140.4040404040404
359,85,73,116.43835616438356
360,70,77,90.9090909090909
361,1,2,50.0
362,527,389,135.47557840616966
363,3859,3288,117.36618004866179
364,1695,1489,113.83478844862324
365,1107,839,131.94278903456495
366,1162,849,136.86690223792698
367,39,41,95.1219512195122
368,124,137,90.51094890510949
369,161,174,92.52873563218391
370,167,135,123.7037037037037
371,1866,1366,136.60322108345534
372,665,532,125.0
373,798,737,108.27679782903662
374,5243,3947,132.8350646060299
375,99,76,130.26315789473685
376,183,185,98.91891891891892
377,394,318,123.89937106918238
378,117,99,118.18181818181819
379,1706,1418,120.31029619181946
380,2,2,100.0
381,0,1,0.0
382,117,82,142.6829268292683
383,2,12,16.666666666666664
384,3,6,50.0
385,64,84,76.19047619047619
386,221,157,140.76433121019107
387,74,82,90.2439024390244
388,109,122,89.34426229508196
389,1,2,50.0
390,25,27,92.5925925925926
391,12,15,80.0
392,6,6,100.0
393,10,20,50.0
394,13,23,56.52173913043478
395,162,155,104.51612903225806
396,1769,1143,154.7681539807524
397,2636,2015,130.81885856079404
398,140,143,97.9020979020979
399,350,261,134.09961685823754
400,0,13,0.0
401,20,21,95.23809523809523
402,1,1,100.0
403,121,124,97.58064516129032
404,26,23,113.04347826086956
405,424,326,130.06134969325154
406,82,75,109.33333333333333
407,31,53,58.490566037735846
408,19,26,73.07692307692307
409,1554,1360,114.26470588235293
410,140,84,166.66666666666669
411,33,38,86.8421052631579
412,18,26,69.23076923076923
